,Date,Local,Visitor,Links,GoalsLocal,GoalsVisitor
242,2019-02-23,Sevilla,Barcelona,https://fbref.com/en/matches/9c343f00/Sevilla-Barcelona-February-23-2019-La-Liga,2,4
243,2019-02-23,Alavés,Celta Vigo,https://fbref.com/en/matches/086e4802/Alaves-Celta-Vigo-February-23-2019-La-Liga,0,0
244,2019-02-23,Athletic Bilbao,Eibar,https://fbref.com/en/matches/9fb4ebab/Athletic-Bilbao-Eibar-February-23-2019-La-Liga,1,0
245,2019-02-24,Leganés,Valencia,https://fbref.com/en/matches/7010f440/Leganes-Valencia-February-24-2019-La-Liga,1,1
246,2019-02-24,Atlético Madrid,Villarreal,https://fbref.com/en/matches/bcb47d9e/Atletico-Madrid-Villarreal-February-24-2019-La-Liga,2,0
247,2019-02-24,Valladolid,Betis,https://fbref.com/en/matches/8583292b/Valladolid-Real-Betis-February-24-2019-La-Liga,0,2
248,2019-02-24,Levante,Real Madrid,https://fbref.com/en/matches/7c2ee19f/Levante-Real-Madrid-February-24-2019-La-Liga,1,2
249,2019-02-25,Girona,Real Sociedad,https://fbref.com/en/matches/18069df5/Girona-Real-Sociedad-February-25-2019-La-Liga,0,0
250,2019-03-01,Rayo Vallecano,Girona,https://fbref.com/en/matches/bb80c95b/Rayo-Vallecano-Girona-March-1-2019-La-Liga,0,2
251,2019-03-02,Espanyol,Valladolid,https://fbref.com/en/matches/64c7bcd2/Espanyol-Valladolid-March-2-2019-La-Liga,3,1
252,2019-03-02,Villarreal,Alavés,https://fbref.com/en/matches/afff20a9/Villarreal-Alaves-March-2-2019-La-Liga,1,2
253,2019-03-02,Huesca,Sevilla,https://fbref.com/en/matches/19a738c0/Huesca-Sevilla-March-2-2019-La-Liga,2,1
254,2019-03-02,Real Madrid,Barcelona,https://fbref.com/en/matches/38da3cd1/Real-Madrid-Barcelona-March-2-2019-La-Liga,0,1
255,2019-03-03,Eibar,Celta Vigo,https://fbref.com/en/matches/93dbea52/Eibar-Celta-Vigo-March-3-2019-La-Liga,1,0
256,2019-03-03,Betis,Getafe,https://fbref.com/en/matches/067b9a41/Real-Betis-Getafe-March-3-2019-La-Liga,1,2
257,2019-03-03,Real Sociedad,Atlético Madrid,https://fbref.com/en/matches/e5ce9773/Real-Sociedad-Atletico-Madrid-March-3-2019-La-Liga,0,2
258,2019-03-03,Valencia,Athletic Bilbao,https://fbref.com/en/matches/099910a6/Valencia-Athletic-Bilbao-March-3-2019-La-Liga,2,0
259,2019-03-04,Leganés,Levante,https://fbref.com/en/matches/dffe560f/Leganes-Levante-March-4-2019-La-Liga,1,0
260,2019-03-08,Athletic Bilbao,Espanyol,https://fbref.com/en/matches/30cedc60/Athletic-Bilbao-Espanyol-March-8-2019-La-Liga,1,1
261,2019-03-09,Alavés,Eibar,https://fbref.com/en/matches/a2c14ed5/Alaves-Eibar-March-9-2019-La-Liga,1,1
262,2019-03-09,Atlético Madrid,Leganés,https://fbref.com/en/matches/2b0f4f49/Atletico-Madrid-Leganes-March-9-2019-La-Liga,1,0
263,2019-03-09,Barcelona,Rayo Vallecano,https://fbref.com/en/matches/7e724c75/Barcelona-Rayo-Vallecano-March-9-2019-La-Liga,3,1
264,2019-03-09,Getafe,Huesca,https://fbref.com/en/matches/3a9a6cbf/Getafe-Huesca-March-9-2019-La-Liga,2,1
265,2019-03-10,Celta Vigo,Betis,https://fbref.com/en/matches/62cce1df/Celta-Vigo-Real-Betis-March-10-2019-La-Liga,0,1
266,2019-03-10,Girona,Valencia,https://fbref.com/en/matches/45ccf482/Girona-Valencia-March-10-2019-La-Liga,2,3
267,2019-03-10,Sevilla,Real Sociedad,https://fbref.com/en/matches/c1ee8172/Sevilla-Real-Sociedad-March-10-2019-La-Liga,5,2
268,2019-03-10,Levante,Villarreal,https://fbref.com/en/matches/680ec217/Levante-Villarreal-March-10-2019-La-Liga,0,2
269,2019-03-10,Valladolid,Real Madrid,https://fbref.com/en/matches/3bf9a086/Valladolid-Real-Madrid-March-10-2019-La-Liga,1,4
270,2019-03-15,Real Sociedad,Levante,https://fbref.com/en/matches/62e84135/Real-Sociedad-Levante-March-15-2019-La-Liga,1,1
271,2019-03-16,Huesca,Alavés,https://fbref.com/en/matches/4658166d/Huesca-Alaves-March-16-2019-La-Liga,1,3
272,2019-03-16,Real Madrid,Celta Vigo,https://fbref.com/en/matches/11a2c45f/Real-Madrid-Celta-Vigo-March-16-2019-La-Liga,2,0
